path,asset_class,language,bytes,loc,tracked,dependency_graph_included
src/research_domain/persistence.py,backend_source,py,23616,538,True,True
src/research_domain/providers.py,backend_source,py,884,37,True,True
src/research_domain/services.py,backend_source,py,14338,355,True,True
src/resources/__init__.py,backend_source,py,545,13,True,True
src/resources/credentials.py,backend_source,py,7189,181,True,True
src/resources/embedding.py,backend_source,py,5173,145,True,True
src/resources/model_client.py,backend_source,py,29717,673,True,True
src/resources/reranker.py,backend_source,py,5091,152,True,True
src/resources/resource_pool.py,backend_source,py,12166,272,True,True
src/sandbox/__init__.py,backend_source,py,1081,25,True,True
src/sandbox/git_repo.py,backend_source,py,11478,251,True,True
src/sandbox/nsjail.py,backend_source,py,5951,181,True,True
src/sandbox/sandbox.py,backend_source,py,7815,204,True,True
src/sandbox/sandbox_manager.py,backend_source,py,14000,342,True,True
src/sandbox/tools/__init__.py,backend_source,py,496,16,True,True
src/sandbox/tools/adapters/__init__.py,backend_source,py,88,3,True,True
src/sandbox/tools/adapters/mcp.py,backend_source,py,59030,1545,True,True
src/sandbox/tools/local/__init__.py,backend_source,py,742,21,True,True
src/sandbox/tools/local/_path_utils.py,backend_source,py,2128,52,True,True
src/sandbox/tools/local/bash.py,backend_source,py,2375,70,True,True
src/sandbox/tools/local/file_analysis.py,backend_source,py,13758,356,True,True
src/sandbox/tools/local/file_read.py,backend_source,py,10456,259,True,True
src/sandbox/tools/local/file_write.py,backend_source,py,15002,338,True,True
src/sandbox/tools/local/fs_edit.py,backend_source,py,2307,61,True,True
src/sandbox/tools/local/fs_read.py,backend_source,py,2700,68,True,True
src/sandbox/tools/local/fs_write.py,backend_source,py,960,28,True,True
src/sandbox/tools/local/glob_.py,backend_source,py,1743,54,True,True
src/sandbox/tools/local/grep.py,backend_source,py,3067,84,True,True
src/sandbox/tools/local/reminder.py,backend_source,py,10168,263,True,True
src/sandbox/tools/registry.py,backend_source,py,5601,136,True,True
src/sandbox/tools/retriever.py,backend_source,py,12170,284,True,True
src/sandbox/tools/routing/__init__.py,backend_source,py,372,11,True,True
src/sandbox/tools/routing/capability.py,backend_source,py,1745,28,True,True
src/sandbox/tools/routing/context.py,backend_source,py,1325,30,True,True
src/sandbox/tools/routing/contracts.py,backend_source,py,4942,115,True,True
src/sandbox/tools/routing/models.py,backend_source,py,3140,113,True,True
src/sandbox/tools/routing/policy.py,backend_source,py,1674,44,True,True
src/sandbox/tools/routing/projector.py,backend_source,py,1085,24,True,True
src/sandbox/tools/routing/router.py,backend_source,py,3538,51,True,True
src/sandbox/tools/skills/__init__.py,backend_source,py,496,15,True,True
src/sandbox/tools/skills/engine.py,backend_source,py,6202,186,True,True
src/sandbox/tools/skills/installer.py,backend_source,py,4188,139,True,True
src/sandbox/tools/skills/skillmd.py,backend_source,py,3689,94,True,True
src/sandbox/tools/types.py,backend_source,py,1004,32,True,True
src/session/__init__.py,backend_source,py,349,16,True,True
src/session/db.py,backend_source,py,5316,153,True,True
src/session/models.py,backend_source,py,3215,90,True,True
src/session/store.py,backend_source,py,31152,736,True,True
src/session/workspace.py,backend_source,py,10758,301,True,True
src/storage/__init__.py,backend_source,py,383,15,True,True
src/storage/file_store.py,backend_source,py,5929,146,True,True
src/storage/protocols.py,backend_source,py,4356,105,True,True
src/storage/redis.py,backend_source,py,7440,192,True,True
src/storage/tenant_file_store.py,backend_source,py,11097,297,True,True
src/web_api/__init__.py,backend_source,py,157,6,True,True
src/web_api/__main__.py,backend_source,py,566,25,True,True
src/web_api/app.py,backend_source,py,48954,1148,True,True
src/web_api/auth.py,backend_source,py,6487,159,True,True
src/web_api/config.py,backend_source,py,9272,184,True,True
src/web_api/fake_executor.py,backend_source,py,7545,184,True,True
src/web_api/models.py,backend_source,py,2382,79,True,True
src/web_api/queries.py,backend_source,py,14520,352,True,True
src/web_api/security.py,backend_source,py,2429,71,True,True
src/web_api/sse.py,backend_source,py,15885,404,True,True
src/web_api/terminal_publisher.py,backend_source,py,6241,167,True,True
src/web_artifacts/__init__.py,backend_source,py,141,5,True,True
src/web_artifacts/build.py,backend_source,py,4754,90,True,True
src/web_artifacts/generator.py,backend_source,py,4094,77,True,True
src/web_artifacts/models.py,backend_source,py,336,13,True,True
src/web_artifacts/outbox.py,backend_source,py,3769,72,True,True
src/web_artifacts/services.py,backend_source,py,12597,265,True,True
src/web_domain/__init__.py,backend_source,py,81,1,True,True
src/web_domain/errors.py,backend_source,py,1032,68,True,True
src/web_domain/failures.py,backend_source,py,371,13,True,True
src/web_domain/file_cleanup.py,backend_source,py,2822,75,True,True
src/web_domain/file_services.py,backend_source,py,11408,270,True,True
src/web_domain/lifecycle.py,backend_source,py,6428,150,True,True
src/web_domain/outbox.py,backend_source,py,5844,136,True,True
src/web_domain/run_usage_projection.py,backend_source,py,3878,106,True,True
src/web_domain/services.py,backend_source,py,29317,627,True,True
src/web_domain/sessions.py,backend_source,py,3049,76,True,True
src/web_domain/workflow_execution.py,backend_source,py,5501,117,True,True
src/workspace/__init__.py,backend_source,py,474,19,True,True
src/workspace/file_capability_config.py,backend_source,py,3872,90,True,True
src/workspace/file_scope.py,backend_source,py,8473,196,True,True
src/workspace/isolation.py,backend_source,py,12444,313,True,True
test/benchmarks/test_agent_strategy_benchmark_scripts.py,test,py,11019,309,True,True
test/fixtures/temporal/README.md,test,md,2605,44,True,False
test/fixtures/temporal/web_run_workflow_v1_completed.json,test,json,11010,352,True,False
test/support/durable_worker_process.py,test,py,13887,384,True,True
test/support/f4_e2e_model.py,test,py,2864,73,True,True
test/support/research_worker_process.py,test,py,3590,93,True,True
test/test_action_result_semantics.py,test,py,1407,47,True,True
test/test_agent/__init__.py,test,py,0,0,True,True
test/test_agent/conftest.py,test,py,1009,31,True,True
test/test_agent/test_adapters.py,test,py,1242,32,True,True
test/test_agent/test_bus.py,test,py,1507,49,True,True
