path,symbol,operation,resource,evidence,method
src/agent_activities/store.py,AgentDataStore.release_lease,UPDATE,account_execution_leases,src/agent_activities/store.py:100,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.run_identity,FROM,runs,src/agent_activities/store.py:110,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.operation_result,FROM,agent_operations,src/agent_activities/store.py:121,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.tool_call_arguments,FROM,agent_operations,src/agent_activities/store.py:135,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.begin_operation,INSERT INTO,agent_operations,src/agent_activities/store.py:154,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.begin_operation,FROM,agent_operations,src/agent_activities/store.py:162,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.begin_tool_operation,INSERT INTO,agent_operations,src/agent_activities/store.py:182,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.begin_tool_operation,FROM,agent_operations,src/agent_activities/store.py:190,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.record_operation_intent,UPDATE,agent_operations,src/agent_activities/store.py:229,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.create_transcript,FROM,agent_transcripts,src/agent_activities/store.py:270,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.load_messages,FROM,agent_transcripts,src/agent_activities/store.py:299,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.load_messages,FROM,agent_transcript_events,src/agent_activities/store.py:305,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.complete_operation_with_event,FROM,agent_transcripts,src/agent_activities/store.py:334,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.result_content,FROM,agent_operations,src/agent_activities/store.py:386,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.acquire_lease,UPDATE,account_execution_leases,src/agent_activities/store.py:73,SQL_LITERAL
src/agent_activities/store.py,AgentDataStore.complete_operation_with_event,FROM,agent_transcript_events,src/agent_activities/store.py:342,SQL_LITERAL
src/agent_execution/run_budget.py,RunBudgetService._finish,UPDATE,run_budgets,src/agent_execution/run_budget.py:218,SQL_LITERAL
src/agent_execution/run_budget.py,RunBudgetService.release,UPDATE,run_usage_ledger,src/agent_execution/run_budget.py:253,SQL_LITERAL
src/agent_execution/run_budget.py,RunBudgetService.release,UPDATE,run_budgets,src/agent_execution/run_budget.py:258,SQL_LITERAL
src/agent_execution/run_budget.py,RunBudgetService.reserve,UPDATE,run_budgets,src/agent_execution/run_budget.py:135,SQL_LITERAL
src/agent_execution/run_budget.py,RunBudgetService.reserve,UPDATE,run_budgets,src/agent_execution/run_budget.py:148,SQL_LITERAL
src/agent_execution/run_budget.py,RunBudgetService._finish,UPDATE,run_usage_ledger,src/agent_execution/run_budget.py:207,SQL_LITERAL
src/agent_execution/run_budget.py,RunBudgetService.reserve,FROM,run_budgets,src/agent_execution/run_budget.py:87,SQL_LITERAL
src/agent_execution/run_budget.py,RunBudgetService.reserve,FROM,run_usage_ledger,src/agent_execution/run_budget.py:94,SQL_LITERAL
src/agent_execution/run_budget.py,RunBudgetService.reserve,INSERT INTO,run_usage_ledger,src/agent_execution/run_budget.py:141,SQL_LITERAL
src/agent_execution/run_budget.py,RunBudgetService._finish,FROM,run_budgets,src/agent_execution/run_budget.py:178,SQL_LITERAL
src/agent_execution/run_budget.py,RunBudgetService._finish,FROM,run_usage_ledger,src/agent_execution/run_budget.py:185,SQL_LITERAL
src/agent_execution/run_budget.py,RunBudgetService.release,FROM,run_budgets,src/agent_execution/run_budget.py:233,SQL_LITERAL
src/agent_execution/run_budget.py,RunBudgetService.release,FROM,run_usage_ledger,src/agent_execution/run_budget.py:238,SQL_LITERAL
src/agent_execution/tracing/repository.py,PostgresTraceRepository.finish_event,UPDATE,trace_events,src/agent_execution/tracing/repository.py:127,SQL_LITERAL
src/agent_execution/tracing/repository.py,PostgresTraceRepository.finish_event,UPDATE,trace_runs,src/agent_execution/tracing/repository.py:135,SQL_LITERAL
src/agent_execution/tracing/repository.py,PostgresTraceRepository.create_trace_run,INSERT INTO,trace_runs,src/agent_execution/tracing/repository.py:35,SQL_LITERAL
src/agent_execution/tracing/repository.py,PostgresTraceRepository.create_trace_run,FROM,runs,src/agent_execution/tracing/repository.py:35,SQL_LITERAL
src/agent_execution/tracing/repository.py,PostgresTraceRepository.start_event,INSERT INTO,trace_events,src/agent_execution/tracing/repository.py:63,SQL_LITERAL
