source,expression,target,evidence,config_gates
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::default_branch,len,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:117,len(candidates) != 1
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::default_branch,RuntimeError,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:118,len(candidates) != 1
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,"git(workspace, 'status', '--porcelain').stdout.strip",,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:123,"not git(workspace, 'status', '--porcelain').stdout.strip()"
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,RuntimeError,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:146,"unstaged_outside.returncode not in {0, 1} or staged_outside.returncode not in {0, 1}"
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,RuntimeError,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:154,unstaged_outside.returncode == 1 or staged_outside.returncode == 1 or untracked_outside
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,RuntimeError,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:161,"staged.returncode not in {0, 1}"
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:163,staged.returncode == 1
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,RuntimeError,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:165,"git(workspace, 'status', '--porcelain').stdout.strip()"
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::prepare_session_branch,git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:175,exists
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::prepare_session_branch,git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:177,NOT exists
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::finalize_session_branch,str,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:183,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::finalize_session_branch,RuntimeError,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:186,"staged.returncode not in {0, 1}"
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::finalize_session_branch,git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:188,staged.returncode == 1
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::finalize_session_branch,"git(workspace, 'diff', '--name-only').stdout.splitlines",,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:190,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::ensure_conversation_session,service.get_or_create_active,src/web_domain/sessions.py::ConversationSessionService.get_or_create_active,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:214,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::file_hashes,root.rglob,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:220,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::file_hashes,hashlib.sha256(path.read_bytes()).hexdigest,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:223,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::grade,re.search,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:231,kind == 'tag_equals'
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::grade,' '.join,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:234,kind == 'tag_equals'
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::grade,' '.join,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:235,kind == 'tag_equals'
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::grade,str,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:237,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::grade,path.read_text,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:241,"kind in {'file_equals', 'file_contains'}"
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::grade,str,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:247,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.__init__,origin.rstrip,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:257,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.__init__,httpx.Client,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:258,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.__init__,self.client.post,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:259,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.__init__,self.client.get,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:265,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.__init__,me.raise_for_status,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:266,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.__init__,me.json,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:267,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.__init__,str,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:272,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.__init__,str,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:273,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.create_conversation,self.client.post,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:283,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.create_conversation,str,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:288,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.submit,self.client.post,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:291,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.submit,dict,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:298,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.wait,TimeoutError,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:309,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.answer,self.client.get,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:312,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.answer,response.raise_for_status,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:315,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.answer,response.json().get,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:316,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::operation_metrics,psycopg.connect,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:322,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::operation_metrics,connection.cursor,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:322,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::operation_metrics,cursor.execute,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:323,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::operation_metrics,cursor.fetchall,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:328,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::operation_metrics,sum,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:338,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::operation_metrics,sum,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:339,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::operation_metrics,sorted,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:340,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::classify_failure,isinstance,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:346,"error is not None && isinstance(error, TimeoutError)"
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::classify_failure,run.get,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:349,run.get('status') != 'completed'
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::classify_failure,str,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:351,run.get('status') != 'completed'
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::append_record,path.open,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:366,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::append_record,stream.write,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:367,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::append_record,stream.flush,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:368,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::append_record,os.fsync,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:369,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::completed_keys,path.exists,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:373,not path.exists()
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::completed_keys,set,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:374,not path.exists()
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::completed_keys,path.open,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:376,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::environment_record,git_value,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git_value,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:388,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::environment_record,git_value,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git_value,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:389,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::environment_record,utc_now,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::utc_now,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:390,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::environment_record,platform.python_version,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:391,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::environment_record,platform.platform,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:392,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::environment_record,os.cpu_count,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:393,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preflight,json.dumps,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:406,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,SystemExit,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:426,not args.execute_model_api
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,str,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:428,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,SystemExit,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:431,unknown_task_ids
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,"os.getenv(name, '').strip",,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:433,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,SystemExit,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:446,missing
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,SystemExit,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:455,workspace.parent.name != client.account_id
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,datetime.now(UTC).strftime,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:456,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,completed_keys,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::completed_keys,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:457,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,set,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:457,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,manifest_digest,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::manifest_digest,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:458,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,range,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:467,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::main,preflight,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preflight,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:612,args.command == 'preflight'
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::main,run,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::run,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:614,NOT args.command == 'preflight'
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::utc_now,datetime.now,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:39,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::load_manifest,isinstance,,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:52,"not isinstance(manifest, dict) or not isinstance(manifest.get('tasks'), list)"
